letter,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
B,0.483815,0.694793,-0.002589,0.432132,0.763844,0.003973,0.367968,0.735757,-0.001368,0.345655,0.757639,0.007217,0.280929,0.743263,-0.004312,0.39056,0.715899,-0.000199,0.362923,0.722228,0.006961,0.312381,0.742718,0.004984,0.311344,0.741465,0.007896,0.407476,0.695226,0.008557,0.391546,0.71447,0.020938,0.340213,0.746349,-0.001812,0.273085,0.717174,-0.007262,0.409332,0.69271,0.001645,0.365004,0.68172,-0.005294,0.345392,0.695382,-0.013408,0.256103,0.691498,0.002788,0.388652,0.649524,0.005608,0.414267,0.689414,-0.009966,0.32459,0.674551,-0.012718,0.265293,0.674193,0.007902
Q,0.469864,0.70391,-0.011605,0.510585,0.665716,-0.005719,0.554529,0.663167,-7.3e-05,0.631661,0.665893,0.016851,0.677251,0.638861,-0.00037,0.524478,0.680813,-0.007113,0.53926,0.694661,0.015792,0.625168,0.684765,0.005586,0.666026,0.672927,-0.015614,0.507497,0.724039,-0.004548,0.574507,0.729844,0.009254,0.626033,0.695485,0.015918,0.643673,0.699128,-0.008847,0.537023,0.712765,0.009459,0.555615,0.749557,-0.018585,0.602244,0.728816,0.022015,0.668889,0.724642,-0.000193,0.528905,0.748952,-0.013338,0.559564,0.718101,-0.033978,0.595313,0.756352,9.5e-05,0.645611,0.734822,-0.001289
C,0.51193,0.697766,0.002033,0.467599,0.729866,0.007461,0.427263,0.715099,-0.002395,0.401335,0.789782,-0.000452,0.338521,0.711337,0.001116,0.457125,0.70742,0.017698,0.421305,0.701023,-0.010929,0.38918,0.706447,-0.00936,0.312848,0.713934,0.005954,0.470328,0.699553,0.016456,0.400319,0.698838,0.003773,0.353541,0.693081,-0.010959,0.341537,0.683398,0.006528,0.481938,0.672644,-0.006495,0.399913,0.681879,-0.009265,0.392102,0.700825,0.017296,0.365457,0.677612,0.004604,0.446356,0.636008,0.007402,0.396759,0.670811,-0.008637,0.375033,0.681984,0.002553,0.345802,0.651877,0.00856
X,0.505981,0.743334,-0.010412,0.580938,0.713881,0.002477,0.593786,0.771776,0.006481,0.643042,0.781596,0.010931,0.690635,0.796585,-0.002157,0.580928,0.709606,0.00142,0.609805,0.759945,0.002245,0.642677,0.784663,0.014627,0.656146,0.822657,-0.000503,0.573342,0.759754,-0.00359,0.556316,0.774811,0.002304,0.613837,0.804353,-0.017266,0.650422,0.846223,0.014589,0.568764,0.775266,0.010198,0.592461,0.78343,-0.005159,0.57978,0.819759,-0.011319,0.623004,0.8458,0.00043,0.511058,0.745047,-0.017572,0.557007,0.811785,0.01918,0.58855,0.822607,0.002211,0.628577,0.859457,0.004669
L,0.458379,0.730567,0.026001,0.513839,0.64735,-0.016887,0.514481,0.609543,0.001452,0.551591,0.554759,0.011331,0.576379,0.533397,-0.016251,0.530148,0.663743,0.005125,0.531255,0.598318,-0.002222,0.544069,0.625229,-0.004566,0.587068,0.586781,0.005791,0.554017,0.669923,0.010721,0.540291,0.638438,0.002774,0.542107,0.609813,-0.00514,0.605224,0.58214,-0.005265,0.545041,0.68803,-0.002104,0.56608,0.671636,0.012904,0.572388,0.607029,0.004739,0.632403,0.588813,0.000927,0.561405,0.696897,0.007827,0.600197,0.675756,-0.013874,0.600692,0.624961,-0.000212,0.629938,0.60654,0.000771
J,0.441304,0.708165,-0.002071,0.400248,0.657008,0.00689,0.385984,0.646529,-0.005811,0.389039,0.579616,0.008172,0.412885,0.572837,-0.001307,0.428179,0.680146,0.003936,0.472519,0.626584,-0.00933,0.441986,0.592402,-0.009561,0.427836,0.518191,0.00265,0.421066,0.667068,0.003535,0.432494,0.601196,-0.003504,0.445276,0.621603,-0.011134,0.445708,0.540847,-0.008091,0.476792,0.679508,0.012662,0.440121,0.646041,0.019295,0.462319,0.595829,-0.009524,0.465426,0.525151,-0.001416,0.501354,0.669679,0.00489,0.498419,0.640963,0.005139,0.481891,0.579715,-0.013602,0.471488,0.537399,-0.014144
S,0.490231,0.700201,-0.018895,0.458504,0.662272,0.015709,0.447574,0.613973,-0.023105,0.453714,0.552126,0.010713,0.459446,0.546678,0.002952,0.481348,0.646558,-0.018089,0.469454,0.58543,0.009917,0.459556,0.584766,0.012479,0.487438,0.510905,-0.003177,0.510332,0.633219,0.001842,0.49797,0.602221,0.009252,0.484256,0.554648,-0.012296,0.484712,0.513661,0.003651,0.52243,0.645782,0.001269,0.493525,0.57349,0.000297,0.524107,0.552716,0.004942,0.499459,0.528599,0.010574,0.493133,0.646608,0.017356,0.52441,0.598205,0.001242,0.522459,0.554195,0.011724,0.55309,0.527429,-0.015669
Q,0.492105,0.710376,-0.00727,0.549203,0.681946,-0.002091,0.593994,0.666712,-0.0055,0.612567,0.671142,0.001114,0.671308,0.689318,0.002924,0.540327,0.690537,0.00021,0.585806,0.708108,-0.002975,0.66873,0.694358,0.007702,0.659048,0.688995,0.003828,0.555929,0.705297,0.00133,0.609612,0.701999,0.008958,0.612548,0.727871,-0.01043,0.698302,0.693979,0.000701,0.55332,0.756462,0.002209,0.593099,0.73674,0.000242,0.646373,0.755203,0.002292,0.658822,0.743589,-0.002475,0.553657,0.772502,-0.005973,0.598494,0.747465,0.001936,0.618829,0.755134,-0.001608,0.666381,0.79096,0.012803
J,0.481971,0.6657,0.0053,0.37751,0.64914,-0.01011,0.450914,0.570357,0.009622,0.419827,0.551246,-0.005122,0.436617,0.490145,-0.001893,0.463295,0.627019,0.005819,0.427972,0.58213,-0.013759,0.463038,0.546087,-0.017489,0.434375,0.495285,0.010832,0.466762,0.640972,-0.017772,0.486451,0.59322,-0.004041,0.468678,0.518204,-0.014675,0.487553,0.529224,-0.01629,0.489998,0.660016,0.005684,0.518524,0.603656,-0.00247,0.477291,0.513179,-0.003327,0.484779,0.487817,0.010608,0.525019,0.605689,0.010641,0.537333,0.541262,-0.002321,0.494253,0.572223,-0.003571,0.504702,0.498187,-0.018067
X,0.44996,0.705756,-0.004346,0.556496,0.702068,-0.017407,0.552831,0.748444,-0.008045,0.594872,0.777656,-0.004328,0.61204,0.789955,-0.002043,0.540299,0.74007,0.004806,0.53267,0.728207,0.004565,0.546835,0.770132,0.011914,0.593984,0.799872,0.012331,0.514071,0.725013,0.001437,0.499865,0.751832,-0.017345,0.558457,0.842642,-0.015096,0.58459,0.837315,-0.017084,0.46632,0.74512,-0.0109,0.512104,0.756009,0.002415,0.539341,0.800515,-0.007614,0.547564,0.830901,0.001818,0.510388,0.757584,-0.009042,0.49423,0.756448,0.009521,0.511154,0.833087,-0.006343,0.548934,0.832892,0.001256
R,0.547583,0.722489,-0.016557,0.612688,0.746817,-0.007748,0.609958,0.733062,-0.009876,0.661606,0.783765,0.000375,0.70812,0.818657,-0.018702,0.56649,0.750578,-0.004833,0.577854,0.778115,0.00915,0.652812,0.820199,-0.006042,0.660486,0.846428,0.008938,0.560665,0.768052,0.007704,0.603558,0.820418,-0.001385,0.611791,0.824761,-0.011885,0.676092,0.844682,-0.001131,0.524434,0.751035,0.006091,0.563476,0.809725,-0.001302,0.613026,0.826695,-0.008237,0.631194,0.842001,0.024743,0.556253,0.801396,-0.010143,0.559592,0.810383,0.015099,0.605105,0.859409,-0.015349,0.617022,0.870416,-0.002534
R,0.472501,0.716554,-0.017234,0.565225,0.757716,-0.001309,0.589824,0.753281,-0.00473,0.601601,0.810471,0.010451,0.635486,0.801758,-9.7e-05,0.52892,0.732683,0.004543,0.55359,0.788885,0.014511,0.586021,0.810784,-0.007151,0.617446,0.826091,-0.002256,0.515682,0.761933,0.004422,0.552279,0.803034,0.002394,0.573627,0.81605,0.01748,0.593614,0.852666,0.004004,0.514887,0.787885,-0.000914,0.530823,0.777741,0.018109,0.554212,0.796212,-0.004908,0.582056,0.872738,0.009925,0.493497,0.760734,-0.004929,0.498937,0.849172,0.008339,0.554686,0.83841,-0.005928,0.568292,0.895964,0.011121
T,0.532227,0.699071,0.003415,0.52598,0.627465,-0.008836,0.543222,0.638749,-0.018123,0.564784,0.573668,0.00798,0.615186,0.559321,0.00158,0.541956,0.649745,-0.001978,0.547403,0.645766,0.002664,0.596207,0.596796,0.005443,0.605337,0.569964,0.015828,0.569396,0.696706,0.001962,0.563832,0.627465,0.014576,0.603721,0.632449,0.016047,0.642217,0.564359,0.009301,0.556765,0.70151,0.003526,0.577058,0.629803,0.002465,0.631909,0.658142,0.020091,0.65607,0.606016,-0.020619,0.58441,0.681021,0.011285,0.595281,0.690349,-0.015268,0.645042,0.625952,0.006717,0.642479,0.58212,-0.003569
I,0.496619,0.700795,-0.013582,0.54828,0.641065,0.007873,0.608152,0.66952,0.001034,0.604765,0.676633,0.001764,0.639347,0.676816,0.002979,0.55997,0.669832,-0.019646,0.605368,0.663404,-0.011098,0.6399,0.681512,-0.005549,0.661605,0.670428,0.012322,0.522836,0.733312,-0.011328,0.599302,0.696785,-0.006583,0.62693,0.709929,-0.00097,0.655917,0.708515,0.002217,0.556385,0.71821,0.006952,0.569417,0.714401,-0.00015,0.625632,0.703521,0.015385,0.670094,0.705761,-0.007047,0.563594,0.735432,0.014587,0.589538,0.756567,0.010432,0.647719,0.755132,0.006183,0.644785,0.769162,-0.002626
G,0.467562,0.702659,-0.008108,0.548028,0.715872,0.003755,0.544374,0.731088,-0.003901,0.593653,0.766896,-0.014439,0.58639,0.800723,0.006654,0.543792,0.743558,-0.013039,0.539606,0.72475,0.019463,0.575448,0.751098,0.015067,0.618783,0.792393,-0.014974,0.51474,0.75861,-0.00431,0.533654,0.7592,-0.011012,0.573147,0.79421,0.00493,0.593224,0.819258,0.010367,0.487254,0.761388,-0.005731,0.533522,0.788538,-0.003172,0.58749,0.813669,0.013246,0.563706,0.880892,0.004874,0.495781,0.758523,-0.003841,0.51664,0.795592,0.011602,0.556961,0.829269,0.014755,0.575412,0.86558,-0.002383
L,0.502572,0.698483,0.001586,0.498363,0.663944,-0.002538,0.542727,0.606907,-0.009346,0.55382,0.587197,-0.01961,0.580546,0.567915,-0.013616,0.550243,0.656705,-0.005132,0.535276,0.597899,-0.003675,0.6091,0.577937,-0.01381,0.599279,0.584731,0.000657,0.516808,0.696847,-0.012776,0.556582,0.661102,0.005289,0.592604,0.625098,-0.002618,0.622263,0.585053,-0.00417,0.544081,0.681578,0.002666,0.596292,0.664099,0.013294,0.605901,0.635899,-0.003572,0.624149,0.591479,-0.004043,0.573652,0.724792,0.01223,0.585643,0.663567,-0.008102,0.612249,0.683794,-0.016588,0.64481,0.606765,0.005755
W,0.513963,0.702397,0.017256,0.532089,0.679807,-0.001324,0.585796,0.637692,-0.000647,0.637561,0.683921,-0.005073,0.667669,0.660555,0.005113,0.521453,0.692191,-0.002324,0.61014,0.673595,0.002744,0.625824,0.696602,-0.003058,0.666409,0.676112,-0.00193,0.576108,0.684422,0.003618,0.613152,0.665912,-0.003414,0.655253,0.706654,-0.000524,0.670991,0.694567,-0.011514,0.527763,0.715522,0.01311,0.58937,0.693315,-0.00766,0.605186,0.72295,0.010052,0.664905,0.726561,0.000918,0.535007,0.713479,-0.00191,0.599508,0.739811,0.007517,0.666631,0.751348,-0.005081,0.663506,0.743014,0.001634
L,0.497432,0.719325,-0.000543,0.523252,0.666274,0.008999,0.552352,0.593992,-0.02194,0.555832,0.580287,-0.005052,0.588305,0.570186,-0.004092,0.525141,0.677052,-0.00741,0.544649,0.654417,-0.001764,0.593757,0.610877,-0.008449,0.6061,0.589015,-0.008121,0.526536,0.690173,0.007449,0.566775,0.63667,0.01162,0.578424,0.587356,-0.007901,0.642663,0.578269,-0.012388,0.535538,0.665707,-0.012454,0.596611,0.641091,-0.000195,0.636759,0.632487,-0.010154,0.658659,0.613966,0.007391,0.562841,0.680995,-0.000537,0.602808,0.666119,-0.004146,0.610427,0.651695,-0.009368,0.65085,0.647899,0.015982
D,0.544913,0.709693,-0.004953,0.483262,0.730092,-0.006285,0.424102,0.737955,-0.02082,0.403997,0.782025,-0.012393,0.369093,0.716509,-0.000823,0.456347,0.724792,0.005231,0.409415,0.719516,0.00737,0.374875,0.740564,0.012849,0.341687,0.743244,-0.019436,0.459579,0.710003,0.009463,0.445323,0.716666,0.000394,0.399127,0.702422,-0.014681,0.362361,0.71051,-0.001261,0.460138,0.711177,-0.009317,0.429882,0.671443,-0.000545,0.40584,0.68812,-0.003077,0.361001,0.695945,-0.00067,0.462345,0.651094,-0.018933,0.452063,0.65134,-0.011591,0.376053,0.644897,0.011099,0.347507,0.647321,-0.008058
M,0.506383,0.728491,-0.000618,0.540035,0.670526,-0.016711,0.600185,0.692264,0.015757,0.627235,0.703261,-0.021984,0.675805,0.705299,0.000997,0.563097,0.700346,-0.009112,0.573824,0.702295,0.016041,0.628508,0.710583,0.009118,0.675094,0.721832,-0.013115,0.547144,0.737637,0.012902,0.599736,0.729052,0.003264,0.624296,0.73476,-0.000393,0.651758,0.739225,0.011858,0.554613,0.689166,-0.002089,0.584075,0.747465,0.02522,0.604886,0.756982,-0.001871,0.663851,0.755747,0.004963,0.555858,0.739996,0.004242,0.571989,0.76508,-0.023754,0.608864,0.755216,0.015476,0.655753,0.746144,0.000635
G,0.486455,0.705094,-0.008583,0.560665,0.741487,-0.004372,0.613886,0.733987,-0.004284,0.628888,0.785165,0.003813,0.610501,0.797763,0.004441,0.532397,0.708126,-0.015612,0.563136,0.734582,-0.013272,0.610977,0.762518,-0.004319,0.645432,0.857929,-0.011014,0.558853,0.714201,0.00845,0.564932,0.78352,0.003396,0.598664,0.796716,0.006563,0.622462,0.851569,0.010591,0.545285,0.756654,-0.014859,0.581661,0.797078,-0.009377,0.59058,0.812323,-0.009264,0.612139,0.832292,0.003657,0.520488,0.772506,-0.00326,0.555411,0.786801,0.002421,0.547473,0.834739,0.008375,0.582771,0.872093,0.008462
T,0.520434,0.694514,-0.001088,0.497437,0.653915,-0.004888,0.550942,0.617182,0.014455,0.541325,0.596987,-0.006611,0.594782,0.5657,-0.007891,0.533684,0.614043,-0.001074,0.520364,0.645753,-0.002652,0.567551,0.576429,-0.013558,0.61762,0.539591,0.00136,0.545172,0.644129,0.01088,0.596816,0.635226,0.019039,0.591173,0.588171,-0.001122,0.616572,0.589154,-0.004395,0.54046,0.673504,0.006524,0.585818,0.663525,0.004059,0.588317,0.614376,-0.007004,0.651743,0.573714,-0.011446,0.567793,0.692219,0.00361,0.59588,0.680777,0.01183,0.608915,0.638723,0.012062,0.634144,0.584867,0.01683
B,0.491597,0.69249,-0.001195,0.433479,0.749438,0.012268,0.387141,0.763298,-0.013042,0.358612,0.71775,0.000718,0.324934,0.773889,0.000494,0.422875,0.738942,0.000412,0.395575,0.737299,0.010928,0.328118,0.724317,-0.000164,0.298056,0.699186,-0.000668,0.427144,0.692674,-0.001374,0.388835,0.703808,0.015768,0.353648,0.73175,0.012441,0.328614,0.692617,-0.002934,0.420304,0.689782,-0.000671,0.400725,0.688082,0.001678,0.348746,0.668949,-0.004417,0.324849,0.681086,-0.0006,0.447117,0.670858,-0.014748,0.392894,0.650475,-0.000542,0.359954,0.671185,0.016638,0.306588,0.65912,0.00574
V,0.528059,0.670275,-0.023724,0.463984,0.653177,0.006308,0.483429,0.587169,-0.016089,0.481913,0.566358,-0.012652,0.497531,0.505971,-0.004306,0.481912,0.637455,0.002024,0.486413,0.593551,-0.021202,0.507589,0.570127,0.000787,0.493164,0.527174,-0.012185,0.502499,0.614618,0.004638,0.517432,0.594943,-0.01185,0.512499,0.55764,-0.002925,0.542172,0.492687,-0.01242,0.51888,0.639407,-0.006639,0.531582,0.623218,-0.001129,0.550461,0.560247,0.006219,0.526674,0.505597,-0.001985,0.544167,0.638445,0.001236,0.560028,0.610884,-0.006655,0.516203,0.562014,0.011005,0.579639,0.530853,-0.004577
X,0.484519,0.715274,-0.00541,0.541611,0.683678,-0.011405,0.543398,0.73844,-0.008826,0.623123,0.746937,0.001497,0.672616,0.822844,0.007761,0.53061,0.721815,-0.002512,0.535685,0.741825,-0.007811,0.597122,0.781007,-0.008459,0.64262,0.804618,0.003496,0.532646,0.719712,-0.004937,0.527536,0.7493,0.00944,0.569842,0.793333,0.000713,0.612098,0.82127,-0.021628,0.491573,0.759148,-0.00125,0.546381,0.781813,-0.005212,0.564971,0.818772,0.015702,0.577748,0.823565,-0.007097,0.465662,0.744793,0.001349,0.519392,0.802435,-0.000662,0.531216,0.822644,0.016499,0.567341,0.841358,-0.006905
W,0.464836,0.767381,-0.000536,0.534286,0.710343,0.006563,0.56084,0.706499,-0.001376,0.604766,0.71522,0.014521,0.630814,0.71601,-0.008505,0.483143,0.738559,-0.004364,0.567459,0.718366,-0.014964,0.597661,0.715263,0.002958,0.632273,0.734594,0.007514,0.51486,0.747108,-0.011847,0.520697,0.734124,0.015218,0.582875,0.756946,0.003504,0.651543,0.748325,-0.013598,0.51513,0.76972,-0.000446,0.559527,0.764396,-0.000277,0.592517,0.781332,-0.009648,0.659421,0.762298,-0.010793,0.556087,0.788622,0.010538,0.551501,0.790883,0.014854,0.586068,0.786953,-0.016588,0.632297,0.774444,0.00372
L,0.476266,0.713783,0.022153,0.504954,0.627165,-0.001323,0.524056,0.582935,-0.007549,0.567973,0.549852,0.005256,0.577292,0.551357,-0.012232,0.503126,0.628525,-0.008274,0.548324,0.626545,0.006939,0.565749,0.584561,-0.015247,0.615338,0.550698,0.005334,0.540956,0.649653,-0.008182,0.55656,0.615816,-0.020427,0.568517,0.624491,0.011569,0.630362,0.563591,-0.004851,0.553155,0.630347,0.014522,0.58116,0.617915,0.011159,0.581068,0.605088,0.000969,0.612082,0.569019,-0.001098,0.582762,0.668737,-0.011709,0.570601,0.655,-0.010059,0.606204,0.61695,-0.003995,0.64544,0.577517,0.000173
D,0.467453,0.735159,0.001797,0.4486,0.763975,-0.016628,0.391737,0.766724,0.005128,0.36231,0.736226,-0.00268,0.311316,0.749556,0.004787,0.44785,0.718439,-0.001333,0.411818,0.743927,-0.001736,0.363444,0.72337,0.018865,0.325253,0.728049,-0.018482,0.41672,0.711698,0.010315,0.394704,0.717136,-0.010158,0.385614,0.754734,-0.027365,0.317738,0.728427,0.004883,0.435588,0.693943,0.006699,0.426027,0.674289,-0.006989,0.370166,0.685704,-0.005542,0.343142,0.705315,-0.005309,0.450434,0.660682,0.00163,0.410074,0.69912,0.006385,0.365359,0.678176,-0.00251,0.34167,0.699661,0.00538
D,0.497422,0.648298,0.009166,0.422286,0.704791,-0.002409,0.379683,0.700809,-0.00944,0.342384,0.714438,-0.001051,0.35552,0.738077,-0.024594,0.446789,0.692081,0.004556,0.404825,0.710289,0.006502,0.364121,0.680221,-0.00415,0.339304,0.713567,-0.00187,0.459966,0.683571,-0.012935,0.412566,0.697558,0.013103,0.361185,0.686879,-0.002388,0.309724,0.689819,-0.009352,0.451005,0.65502,-0.005925,0.409043,0.666244,0.004951,0.363841,0.660799,0.003661,0.323664,0.665348,-0.005754,0.44919,0.657384,0.008115,0.422225,0.663222,0.001501,0.384846,0.640199,0.010073,0.341296,0.669987,0.008335
U,0.511171,0.747228,0.001783,0.573724,0.69651,0.003629,0.628503,0.713293,-0.000168,0.662362,0.684547,0.012287,0.686154,0.692178,0.022902,0.581644,0.733287,-0.004659,0.615184,0.689753,0.018266,0.6489,0.706592,0.003826,0.686989,0.740362,-0.014575,0.577216,0.722876,0.007724,0.615527,0.73202,0.008181,0.668174,0.725452,0.010584,0.718863,0.763557,0.001894,0.589863,0.760863,0.001608,0.603825,0.754968,-0.005145,0.65396,0.757688,-0.002551,0.682943,0.756458,0.000225,0.555598,0.759883,-0.013273,0.604552,0.759699,0.006657,0.657382,0.798062,0.014611,0.721198,0.791459,0.008275
B,0.490866,0.667971,0.002743,0.442044,0.733177,-0.005622,0.40232,0.713547,-0.007612,0.370106,0.710167,-0.006445,0.309454,0.739841,-0.014401,0.429285,0.693816,0.016561,0.393975,0.702306,0.001137,0.37108,0.679002,-0.010809,0.321396,0.700649,-0.014424,0.427486,0.692446,0.003257,0.427521,0.665509,-0.014811,0.340003,0.70469,-0.008959,0.295337,0.702282,-0.007401,0.45485,0.673317,-0.006619,0.411528,0.682335,0.01502,0.351916,0.665319,0.014721,0.334793,0.673954,-0.0085,0.422411,0.628631,-0.009908,0.395019,0.63222,0.007207,0.319442,0.638078,-0.006802,0.327251,0.657937,-0.012308
H,0.49675,0.701748,0.000327,0.547407,0.784676,0.000366,0.516709,0.79527,0.005086,0.540104,0.866279,0.012177,0.577094,0.892021,0.005811,0.508205,0.767003,-0.014056,0.52365,0.799197,-0.02329,0.521353,0.845635,-0.013192,0.494813,0.881459,-0.002389,0.47578,0.755629,-0.006684,0.476595,0.800284,-0.009316,0.542962,0.880802,-0.007256,0.512775,0.872564,-0.007665,0.481589,0.766763,0.003223,0.504436,0.793522,0.011851,0.47703,0.842055,-0.006933,0.485109,0.891203,0.012596,0.428205,0.772468,0.002227,0.469845,0.797764,-0.006675,0.443879,0.83869,0.005667,0.434827,0.886411,0.008365
P,0.493427,0.717205,-0.00988,0.53053,0.641496,-0.005383,0.552739,0.616271,0.005487,0.582149,0.614186,-0.014674,0.597031,0.579575,-0.00766,0.547226,0.693962,-0.004352,0.541754,0.641157,0.01281,0.566352,0.622234,-0.010039,0.596722,0.601918,0.003768,0.554257,0.703109,-0.007835,0.56885,0.653892,0.000885,0.584876,0.652357,0.009566,0.63436,0.568772,0.008587,0.554231,0.714561,-0.00683,0.578454,0.671701,0.005366,0.614626,0.660528,4.8e-05,0.619189,0.623605,0.007173,0.578325,0.702761,-0.010458,0.594961,0.655876,-0.008159,0.628607,0.656314,-0.006177,0.66277,0.626361,0.012632
Y,0.561007,0.724555,-0.004927,0.542545,0.668908,-0.009356,0.603862,0.625977,-0.024557,0.599441,0.619425,0.008451,0.641023,0.577796,-0.005588,0.578445,0.642265,0.005662,0.617893,0.65919,0.002889,0.621728,0.605248,-0.014623,0.657913,0.569768,-0.013647,0.574999,0.659367,-0.014214,0.608079,0.678778,-0.003892,0.645004,0.6264,0.00983,0.68011,0.591444,-0.013997,0.609291,0.718159,-0.010084,0.628217,0.674073,-0.009342,0.652351,0.613336,0.004339,0.689044,0.612358,0.016697,0.593395,0.700277,-0.00102,0.62346,0.658854,-0.005929,0.626809,0.661309,-0.011344,0.697241,0.621233,0.001602
X,0.492587,0.696364,0.004114,0.554831,0.734932,0.005512,0.613863,0.76425,0.012979,0.623038,0.778362,0.013009,0.662603,0.835361,-0.005491,0.553352,0.763279,0.015947,0.571992,0.762505,-0.005875,0.600083,0.827906,0.014679,0.630821,0.840806,-0.013513,0.541937,0.765522,0.008767,0.513987,0.791631,0.004121,0.567618,0.812764,-0.002978,0.616342,0.865838,-0.004189,0.516345,0.772096,0.02085,0.53837,0.828596,0.006674,0.614537,0.848408,-0.00936,0.589237,0.893488,0.014379,0.49258,0.786805,0.012334,0.553849,0.775318,0.007938,0.555451,0.870615,-0.008076,0.580588,0.867183,-0.004445
N,0.484369,0.692678,-0.015622,0.520795,0.724544,-0.000444,0.572633,0.76192,-0.00613,0.594001,0.793483,-0.017491,0.610826,0.794121,0.006619,0.520325,0.713523,-0.000845,0.539834,0.755614,-0.000333,0.57943,0.77629,-0.001771,0.606988,0.816234,-0.008075,0.497063,0.747608,-0.004545,0.52586,0.754887,-0.001785,0.549098,0.824368,-0.007259,0.579081,0.832326,0.004338,0.498495,0.7608,0.002265,0.508054,0.785544,-0.001583,0.56245,0.819764,0.007791,0.573236,0.850199,-0.003161,0.477061,0.752862,-0.007104,0.50537,0.803798,0.004205,0.543827,0.812411,0.011034,0.569449,0.833357,-0.00104
Q,0.461204,0.693246,0.017421,0.488386,0.640324,-4.4e-05,0.517778,0.63764,0.010676,0.592334,0.63236,0.018239,0.609103,0.619924,0.003724,0.473763,0.693659,-0.001066,0.537771,0.669457,-0.006035,0.565137,0.665217,0.003083,0.626285,0.64003,-0.018695,0.507141,0.703094,0.009404,0.534214,0.690803,-0.019213,0.548637,0.703386,-0.001016,0.620286,0.684673,-0.000581,0.467106,0.673531,-0.000449,0.490354,0.711359,0.015504,0.565456,0.708595,-0.005164,0.615541,0.712548,-0.013905,0.462775,0.72589,-0.002167,0.536012,0.71955,-0.020091,0.567616,0.746369,-0.003412,0.574158,0.729182,-0.003546
R,0.49599,0.696411,-0.002025,0.550015,0.715231,-0.000245,0.599181,0.74253,-0.000345,0.579976,0.783705,0.013221,0.657996,0.760089,-0.007653,0.528866,0.724658,0.017176,0.564715,0.764906,0.012512,0.566441,0.783274,0.017651,0.616239,0.812835,0.007254,0.50435,0.74215,0.00713,0.521526,0.782618,0.003393,0.605394,0.7884,-0.012365,0.594684,0.813989,0.013401,0.50805,0.752821,-0.002663,0.519317,0.79455,-0.020037,0.552192,0.800923,-0.018663,0.591491,0.849562,-0.001706,0.492676,0.760384,-0.001178,0.506787,0.793967,-0.003493,0.555113,0.826185,0.001907,0.579195,0.859939,0.00686
I,0.516943,0.699744,-0.003538,0.566146,0.660196,0.006906,0.599286,0.670302,0.005248,0.654683,0.669286,0.004644,0.669083,0.657859,-0.003091,0.577602,0.668343,-0.027148,0.609606,0.696715,-0.009096,0.63175,0.70342,0.000502,0.678393,0.709749,-0.004615,0.584881,0.7113,-0.000879,0.570746,0.700065,0.003166,0.60849,0.711194,-0.002494,0.6818,0.693951,-0.00048,0.533844,0.70456,-0.007092,0.587838,0.719087,0.004782,0.615635,0.734337,-7.4e-05,0.672276,0.732571,-0.003804,0.542935,0.758958,-0.004428,0.609823,0.745131,-0.012267,0.658096,0.743847,0.005001,0.662714,0.748006,-0.006615
V,0.495576,0.725778,0.00222,0.458081,0.651061,0.004306,0.467064,0.614306,0.001418,0.478865,0.543812,0.002226,0.462389,0.52927,-0.004872,0.479034,0.652726,0.008663,0.47605,0.602668,-0.00136,0.456825,0.573416,0.000833,0.460563,0.536295,-0.002141,0.487215,0.636263,0.013448,0.497137,0.612727,-0.015662,0.485561,0.549544,0.001901,0.489747,0.514991,-0.011714,0.498558,0.645963,0.008093,0.526481,0.605782,0.013468,0.500659,0.591402,-0.011581,0.503043,0.499012,0.010412,0.547901,0.620781,0.011501,0.521088,0.567621,0.005781,0.533849,0.566018,0.006461,0.525187,0.50994,0.008345
X,0.487401,0.713015,0.010629,0.555206,0.716031,0.008893,0.570766,0.742933,0.004682,0.629579,0.800268,0.021647,0.623735,0.823283,-0.000141,0.537812,0.736547,-0.015992,0.557348,0.774607,-0.008491,0.601252,0.815681,0.005341,0.606068,0.835793,0.005947,0.526638,0.723721,0.008346,0.537027,0.771742,-0.01541,0.584576,0.800819,0.006889,0.601331,0.827751,0.006124,0.488725,0.777435,0.009044,0.537668,0.802888,-0.009929,0.549749,0.830575,0.004789,0.579999,0.868744,-0.009036,0.497013,0.776694,-0.002184,0.53098,0.825017,-0.005863,0.538354,0.850527,0.004814,0.589029,0.886438,-6.5e-05
